Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
D11030,0.455,0.455,0.794,0.785
A57078,0.452,0.354,0.817,0.75
A83184,0.414,0.415,0.687,0.782
X87558,0.338,0.495,0.771,0.819
D51923,0.57,0.53,0.729,0.703
A66418,0.255,0.165,0.453,0.358
D57882,0.159,0.232,1.0,0.89
X55176,0.214,0.192,0.459,0.551
D86761,0.238,0.218,0.946,0.805
D39068,0.226,0.153,0.578,0.421
X74995,0.233,0.195,0.33,0.24
S34210,0.523,0.548,0.722,0.69
S18087,0.27,0.225,0.8,0.68
D62496,0.269,0.294,0.906,0.767
S70415,0.264,0.198,0.314,0.219
A50648,0.415,0.387,0.65,0.611
P79898,0.459,0.434,0.754,0.65
S17604,0.235,0.225,0.408,0.332
D26606,0.502,0.323,0.769,0.62
D81919,0.629,0.534,0.839,0.699
P82891,0.575,0.637,0.726,0.807
D34543,0.708,0.441,0.805,0.711
X93744,0.604,0.513,0.812,0.69
S52317,0.573,0.516,0.736,0.675
D46830,0.352,0.301,0.835,0.766
S65899,0.178,0.275,0.543,0.57
D97889,0.184,0.182,0.83,0.885
X48120,0.678,0.474,0.86,0.683
X27822,0.291,0.243,0.373,0.308
A44315,0.504,0.377,0.712,0.841
A26963,0.365,0.328,0.746,0.718
S11457,0.553,0.524,0.717,0.792
D19953,0.121,0.197,0.537,0.323
X39640,0.404,0.202,0.832,0.752
P66279,0.593,0.589,0.772,0.748
A13172,0.699,0.794,0.882,0.881
X96321,0.441,0.472,0.61,0.734
X69786,0.592,0.464,0.735,0.624
S24065,0.432,0.416,0.734,0.661
A98906,0.354,0.186,0.819,0.693
A82108,0.477,0.412,0.728,0.766
P30049,0.345,0.379,0.605,0.599
P79348,0.615,0.651,0.704,0.856
A48445,0.299,0.21,0.878,0.591
P61814,0.578,0.407,0.803,0.723
P98136,0.646,0.497,0.801,0.808
P89563,0.299,0.23,0.843,0.697
S67434,0.142,0.259,0.455,0.553
X77578,0.483,0.519,0.733,0.79
X37170,0.542,0.496,0.889,0.746
P11873,0.441,0.423,0.742,0.646
D70432,0.255,0.178,0.383,0.338
P97967,0.69,0.496,0.761,0.666
D99977,0.523,0.395,0.773,0.759
P28457,0.59,0.499,0.717,0.699
S89988,0.211,0.24,0.541,0.593
S86676,0.207,0.17,0.306,0.342
X82271,0.165,0.241,0.924,0.727
P59968,0.276,0.097,0.858,0.807
S47537,0.547,0.469,0.764,0.653
P42937,0.781,0.645,0.903,0.842
P36643,0.299,0.16,0.806,0.697
S33879,0.33,0.199,0.664,0.397
X31296,0.58,0.374,0.771,0.649
D81652,0.343,0.143,0.915,0.625
X95705,0.656,0.534,0.81,0.836
P93055,0.309,0.164,1.0,0.639
X78783,0.496,0.463,0.833,0.736
A52733,0.333,0.257,0.918,0.765
P27236,0.651,0.531,0.795,0.748
X82423,0.176,0.265,0.296,0.379
D76395,0.25,0.216,0.522,0.395
A41633,0.205,0.169,0.299,0.493
A37914,0.515,0.473,0.725,0.671
X30108,0.19,0.209,0.48,0.453
X22763,0.848,0.656,0.908,0.837
A15889,0.56,0.352,0.884,0.744
P90742,0.389,0.404,0.75,0.875
A72032,0.442,0.317,0.835,0.666
X57662,0.691,0.492,0.795,0.654
A29527,0.578,0.563,0.731,0.732
D63135,0.17,0.282,0.511,0.525
X90852,0.589,0.604,0.702,0.786
P17346,0.156,0.241,0.379,0.277
P62187,0.33,0.217,0.857,0.685
X21568,0.628,0.454,0.778,0.604
P47042,0.166,0.148,0.337,0.305
S51100,0.452,0.359,0.666,0.626
P53666,0.494,0.33,0.731,0.772
X68146,0.315,0.191,0.612,0.507
X51172,0.2,0.132,0.771,0.491
P75589,0.435,0.444,0.751,0.795
D72447,0.637,0.476,0.703,0.646
P13137,0.202,0.246,0.452,0.439
S13827,0.135,0.279,0.732,1.0
S62838,0.575,0.427,0.862,0.795
S79335,0.496,0.397,0.62,0.593
S77579,0.657,0.511,0.774,0.704
D96342,0.251,0.202,0.913,0.518
A11587,0.255,0.257,0.486,0.549
D69831,0.525,0.379,0.802,0.636
D55536,0.589,0.499,0.75,0.71
S35785,0.381,0.416,0.906,0.849
X15413,0.647,0.501,0.818,0.666
A51019,0.833,0.727,0.904,0.889
P96140,0.315,0.135,0.587,0.451
X54176,0.196,0.18,0.661,0.57
D91036,0.202,0.269,0.944,0.957
D34829,0.437,0.398,0.815,0.721
A25015,0.302,0.135,0.887,0.606
S76191,0.3,0.218,0.878,0.768
D18709,0.691,0.37,0.784,0.616
S31884,0.19,0.242,0.484,0.394
D83807,0.17,0.195,0.374,0.491
X49401,0.654,0.533,0.83,0.722
S12932,0.623,0.446,0.778,0.671
S90680,0.481,0.42,0.734,0.753
D79189,0.378,0.377,0.782,0.667
A18725,0.279,0.14,0.663,0.81
P61617,0.36,0.409,0.717,0.798
S82351,0.536,0.507,0.703,0.698
D69744,0.2,0.263,0.489,0.53
A43141,0.248,0.172,0.475,0.076
X46097,0.608,0.506,0.768,0.722
A32053,0.27,0.167,0.978,0.936
S86582,0.242,0.345,0.464,0.539
P48291,0.601,0.398,0.788,0.648
S47339,0.459,0.392,0.666,0.76
P82494,0.486,0.359,0.88,0.729
P98079,0.644,0.545,0.705,0.712
X12138,0.252,0.193,0.616,0.568
A88292,0.674,0.465,0.794,0.65
A77812,0.221,0.261,0.969,1.0
D87944,0.269,0.254,0.387,0.582
X58989,0.327,0.24,0.696,0.822
A76333,0.514,0.377,0.876,0.767
S42525,0.411,0.518,0.826,0.801
X60422,0.188,0.205,0.501,0.584
A33458,0.122,0.13,0.469,0.304
D56579,0.177,0.129,1.0,1.0
D44815,0.465,0.451,0.706,0.712
D71827,0.158,0.208,0.282,0.271
S11329,0.361,0.218,0.802,0.794
P89753,0.213,0.241,0.37,0.396
D40843,0.545,0.494,0.746,0.76
P37546,0.744,0.5,0.83,0.683
X93509,0.359,0.244,0.629,0.503
A79108,0.231,0.247,0.896,0.752
D99358,0.554,0.508,0.782,0.82
D27594,0.203,0.217,0.967,0.884
S57956,0.478,0.426,0.768,0.781
D46021,0.63,0.615,0.72,0.789
A39182,0.295,0.302,0.728,0.896
A27287,0.793,0.564,0.896,0.827
S62434,0.217,0.264,0.336,0.341
P24357,0.249,0.219,0.442,0.563
A61144,0.581,0.412,0.853,0.709
A89047,0.485,0.427,0.772,0.782
X61094,0.336,0.216,0.929,0.945
P36272,0.219,0.224,0.323,0.364
X91613,0.626,0.565,0.77,0.717
S14082,0.0,0.219,0.185,0.488
P60165,0.334,0.198,0.777,0.765
S65647,0.197,0.206,0.879,0.895
X29664,0.543,0.48,0.784,0.709
S69193,0.308,0.199,0.78,0.683
D65136,0.186,0.217,0.847,0.906
S44609,0.26,0.223,0.559,0.567
A69347,0.543,0.532,0.651,0.71
S42873,0.607,0.526,0.734,0.698
X27871,0.488,0.377,0.725,0.727
A63289,0.19,0.272,0.898,0.956
S12341,0.326,0.216,0.512,0.526
X25147,0.889,0.717,0.952,0.882
P93355,0.528,0.45,0.756,0.779
S79246,0.316,0.187,0.727,0.589
A91183,0.222,0.228,0.34,0.403
X52004,0.203,0.242,0.853,0.825
A10076,0.29,0.197,0.481,0.23
A26562,0.645,0.562,0.743,0.775
A72416,0.441,0.305,0.753,0.762
A74118,0.387,0.456,0.648,0.783
D46428,0.452,0.446,0.71,0.729
D24836,0.369,0.408,0.677,0.716
S83243,0.676,0.56,0.758,0.788
A53956,0.503,0.341,0.809,0.762
D37031,0.271,0.139,0.443,0.05
A15947,0.79,0.687,0.905,0.859
D30871,0.538,0.467,0.763,0.827
S91167,0.455,0.463,0.636,0.646
A47062,0.414,0.44,0.696,0.706
S92077,0.477,0.47,0.632,0.713
D16827,0.621,0.44,0.786,0.694
A68885,0.248,0.235,0.916,0.827
D18966,0.54,0.451,0.789,0.729
P74966,0.666,0.539,0.753,0.674
A83250,0.109,0.295,0.444,0.465
S14031,0.743,0.741,0.896,0.863
D49957,0.168,0.169,0.376,0.214
A96316,0.337,0.164,0.777,0.816
S31640,0.66,0.524,0.856,0.656
S97332,0.43,0.429,0.878,0.822
X46819,0.449,0.356,0.857,0.765
X62789,0.658,0.413,0.822,0.617
X16024,0.19,0.22,0.34,0.37
P93488,0.7,0.459,0.836,0.675
A97614,0.237,0.24,0.326,0.42
D47978,0.281,0.237,0.506,0.386
S51517,0.346,0.183,0.831,0.79
P68825,0.29,0.143,0.483,0.418
D12859,0.541,0.404,0.681,0.772
D30660,0.261,0.184,0.918,0.856
A28370,0.649,0.494,0.855,0.776
A17844,0.282,0.219,0.757,0.671
A30065,0.166,0.165,0.479,0.411
P13435,0.502,0.368,0.805,0.679
X67775,0.599,0.62,0.747,0.775
X96261,0.151,0.333,0.677,0.563
A54447,0.225,0.21,0.37,0.457
P93484,0.58,0.418,0.771,0.663
S69354,0.532,0.485,0.839,0.737
S88250,1.037,0.812,1.0,0.9
P27631,0.753,0.476,0.841,0.726
S10633,0.375,0.312,0.766,0.778
D46900,0.632,0.503,0.876,0.792
P42322,0.709,0.491,0.79,0.846
P70376,0.522,0.34,0.848,0.89
S45020,0.299,0.227,0.743,0.825
S79693,0.653,0.464,0.831,0.729
A81975,0.685,0.451,0.887,0.725
P19111,0.856,0.66,0.96,0.883
X94331,0.477,0.297,0.736,0.773
A51165,0.423,0.375,0.745,0.643
D46227,0.355,0.276,0.826,0.814
S88299,0.223,0.22,0.397,0.377
A97776,0.612,0.563,0.779,0.779
P52275,0.439,0.443,0.762,0.824
D25589,0.833,0.669,0.91,0.795
X78614,0.21,0.236,0.345,0.312
A99539,0.307,0.157,0.802,0.654
A94430,0.199,0.055,0.997,1.0
D45042,0.526,0.404,0.733,0.702
S88493,0.499,0.413,0.651,0.678
X24006,0.657,0.566,0.846,0.72
A12888,0.433,0.476,0.658,0.688
A80015,0.628,0.503,0.75,0.685
D17295,0.555,0.459,0.766,0.72
P18979,0.329,0.141,0.881,0.729
P57624,0.485,0.404,0.767,0.685
X57764,0.527,0.385,0.729,0.647
S59392,0.476,0.435,0.796,0.781
A79726,0.462,0.326,0.873,0.646
S15697,0.547,0.543,0.685,0.762
A21370,0.114,0.16,0.519,0.523
A67627,0.601,0.488,0.703,0.64
P62494,0.358,0.156,0.875,0.84
A14627,0.474,0.368,0.771,0.733
D80022,0.702,0.509,0.834,0.781
A26991,0.596,0.444,0.757,0.833
A17002,0.288,0.199,0.726,0.689
P22004,0.509,0.507,0.744,0.695
S66864,0.143,0.181,0.302,0.271
X39267,0.815,0.714,0.904,0.891
D33339,0.699,0.548,0.867,0.741
P44735,0.471,0.335,0.669,0.772
P43209,0.511,0.438,0.76,0.726
D69541,0.242,0.23,0.764,0.752
P40677,0.587,0.318,0.904,0.796
S86491,0.563,0.449,0.696,0.661
S30022,0.2,0.196,0.464,0.3
A70892,0.314,0.237,0.48,0.416
D18191,0.391,0.205,0.809,0.7
D95688,0.193,0.239,0.543,0.539
X44125,0.201,0.19,0.533,0.571
S10412,0.347,0.094,0.994,0.893
A59466,0.301,0.208,0.826,0.844
X72192,0.554,0.518,0.771,0.774
D73625,0.61,0.399,0.874,0.654
P58505,0.173,0.213,0.481,0.528
P41531,0.581,0.442,0.829,0.719
X66787,0.656,0.514,0.791,0.748
D65545,0.192,0.252,0.46,0.465
P63418,0.572,0.493,0.757,0.711
P65341,0.242,0.197,0.544,0.578
P17795,0.514,0.493,0.793,0.856
A22416,0.286,0.183,0.865,0.935
A52351,0.478,0.342,0.678,0.759
P25872,0.51,0.445,0.787,0.697
A80982,0.452,0.413,0.7,0.607
X45339,0.483,0.375,0.839,0.819
S75636,0.52,0.385,0.814,0.686
S26079,0.382,0.53,0.706,0.716
D23991,0.226,0.318,0.821,0.7
D66303,0.207,0.089,0.432,0.262
D21015,0.522,0.374,0.685,0.685
D38643,0.47,0.492,0.682,0.721
A19107,0.422,0.374,0.72,0.772
D84764,0.658,0.49,0.78,0.694
D80530,0.175,0.246,0.908,0.876
X37422,0.605,0.481,0.779,0.654
A62740,0.337,0.177,0.877,0.799
X98612,0.504,0.347,0.876,0.887
X41556,0.345,0.463,0.759,0.864
S37110,0.501,0.443,0.797,0.628
A95906,0.312,0.156,0.807,0.708
A96598,0.168,0.106,0.477,0.185
S65688,0.635,0.492,0.709,0.685
S86958,0.425,0.408,0.787,0.677
X76807,0.603,0.463,0.85,0.661
X94275,0.635,0.531,0.765,0.724
D16602,0.187,0.192,0.534,0.312
P13686,0.645,0.478,0.768,0.715
A53444,0.251,0.211,0.867,0.856
X36446,0.379,0.281,0.798,0.886
P82373,0.211,0.178,0.487,0.35
X79249,0.254,0.11,0.768,0.849
P12735,0.546,0.46,0.8,0.777
S51992,0.404,0.254,0.843,0.657
P58364,0.255,0.193,0.51,0.453
D43714,0.19,0.163,0.414,0.191
P53862,0.826,0.633,0.95,0.86
D67282,0.193,0.182,0.307,0.263
S64268,0.229,0.157,0.798,0.875
S21589,0.229,0.228,0.386,0.386
A53533,0.636,0.625,0.772,0.802
P97653,0.29,0.172,0.923,0.653
A68646,0.251,0.436,0.572,0.641
P36194,0.685,0.485,0.778,0.694
D33401,0.621,0.501,0.83,0.679
P15865,0.222,0.207,0.635,0.654
X58869,0.164,0.423,0.356,0.598
A81343,0.215,0.279,0.335,0.578
A29259,0.351,0.217,0.854,0.694
P94473,0.302,0.322,0.45,0.378
A99758,0.293,0.157,0.648,0.757
X51004,0.54,0.553,0.691,0.698
X54261,0.511,0.48,0.772,0.737
X85772,0.376,0.216,0.751,0.755
D44105,0.49,0.381,0.824,0.732
P48493,0.684,0.465,0.826,0.724
P73130,0.326,0.156,0.827,0.8
P50983,0.334,0.102,0.998,1.0
D89664,0.519,0.423,0.735,0.713
A94705,0.216,0.159,0.603,0.465
P52078,0.341,0.175,0.812,0.667
A31989,0.613,0.465,0.779,0.781
S69417,0.521,0.419,0.714,0.728
X34830,0.473,0.417,0.703,0.711
D77925,0.636,0.538,0.836,0.701
P16378,0.656,0.561,0.83,0.723
X60180,0.275,0.214,0.654,0.429
P84614,0.499,0.477,0.686,0.779
X70325,0.513,0.296,0.779,0.651
S84761,0.502,0.458,0.719,0.63
X73123,0.207,0.173,0.346,0.362
A84026,0.568,0.583,0.812,0.745
A70152,0.513,0.458,0.815,0.833
P10055,0.475,0.295,0.731,0.766
S86749,0.632,0.487,0.751,0.607
X84624,0.17,0.226,0.041,0.357
X95443,0.522,0.561,0.707,0.769
X47111,0.325,0.114,0.987,0.83
X92070,0.221,0.278,0.444,0.309
X79089,0.802,0.737,0.901,0.912
X65501,0.215,0.138,0.299,0.327
A45148,0.603,0.496,0.8,0.706
D97286,0.589,0.529,0.722,0.697
A39734,0.507,0.474,0.778,0.707
S10245,0.469,0.448,0.807,0.858
X58309,0.252,0.205,0.54,0.448
D53520,0.289,0.291,0.732,0.69
P17089,0.211,0.136,0.499,0.464
D53620,0.222,0.187,0.848,0.788
X11961,0.582,0.48,0.758,0.786
S68730,0.156,0.272,0.385,0.443
A87782,0.752,0.695,0.892,0.842
P30431,0.576,0.453,0.885,0.798
P45762,0.444,0.355,0.709,0.624
X98432,0.546,0.521,0.91,0.714
A26943,0.646,0.496,0.828,0.595
S79679,0.283,0.089,0.623,0.497
D48591,0.618,0.544,0.827,0.796
P28310,0.624,0.499,0.789,0.716
A51033,0.235,0.267,0.844,0.7
A48877,0.322,0.33,0.624,0.544
X75250,0.186,0.195,0.33,0.366
D39787,0.221,0.183,0.402,0.557
P94993,0.568,0.465,0.694,0.62
S19800,0.078,0.186,1.0,0.95
D45713,0.584,0.552,0.841,0.799
D51834,0.644,0.491,0.764,0.682
D63404,0.273,0.224,0.74,0.494
D53573,0.259,0.212,0.587,0.591
P43253,0.613,0.524,0.809,0.776
D45189,0.584,0.532,0.782,0.686
S12179,0.386,0.257,0.758,0.737
S45829,0.664,0.494,0.791,0.679
P63180,0.231,0.095,0.431,0.374
X57316,0.199,0.216,0.425,0.38
S60394,0.348,0.166,0.771,0.786
P20855,0.453,0.412,0.68,0.682
P38776,0.401,0.298,0.671,0.705
X36122,0.405,0.351,0.709,0.536
S73402,0.512,0.398,0.84,0.634
S89688,0.229,0.2,0.874,0.901
S12628,0.222,0.192,0.291,0.408
S19358,0.278,0.166,0.864,0.864
A35382,0.503,0.308,0.648,0.747
S90281,0.512,0.309,0.769,0.632
X58153,0.395,0.336,0.838,0.788
P81324,0.609,0.51,0.788,0.709
S32750,0.648,0.494,0.772,0.692
X38262,0.676,0.433,0.783,0.672
S79534,0.565,0.618,0.655,0.771
A95105,0.555,0.362,0.807,0.736
S76618,0.542,0.477,0.668,0.592
X36298,0.573,0.429,0.776,0.802
X96890,0.478,0.343,0.713,0.631
S24473,0.37,0.47,0.676,0.66
S36995,0.523,0.413,0.837,0.814
X36069,0.279,0.214,0.761,0.772
P59673,0.607,0.394,0.767,0.727
S74459,0.52,0.512,0.685,0.783
X58378,0.697,0.558,0.808,0.728
S11657,0.251,0.194,0.339,0.343
D21003,0.471,0.449,0.682,0.772
D64905,0.635,0.435,0.872,0.656
X74798,0.216,0.172,0.803,0.977
S95172,0.512,0.389,0.721,0.704
A13510,0.646,0.499,0.761,0.628
X45597,0.517,0.359,0.707,0.673
S71027,0.435,0.415,0.606,0.565
D51739,0.28,0.188,0.732,0.671
S82315,0.184,0.212,0.48,0.375
P26425,0.284,0.281,0.481,0.293
X31300,0.208,0.221,0.423,0.523
A67227,0.6,0.578,0.799,0.728
A31735,0.626,0.496,0.708,0.6
S95938,0.54,0.484,0.759,0.761
A65711,0.738,0.685,0.835,0.852
A51472,0.257,0.159,0.955,0.649
X45388,0.732,0.762,0.946,0.915
P37617,0.177,0.135,0.891,0.9
X98091,0.513,0.387,0.701,0.756
S44509,0.367,0.089,0.784,0.76
D90581,0.752,0.526,0.788,0.658
A97520,0.505,0.492,0.67,0.658
A49279,0.311,0.233,0.788,0.75
X31226,0.587,0.587,0.798,0.656
A55405,0.183,0.181,0.461,0.399
P55299,0.525,0.501,0.82,0.805
D42387,0.497,0.396,0.75,0.78
S85853,0.508,0.476,0.727,0.798
D76311,0.507,0.391,0.796,0.712
S24025,0.593,0.505,0.74,0.606
X62599,0.557,0.445,0.848,0.765
D45938,0.579,0.516,0.868,0.908
S59362,0.642,0.464,0.829,0.741
S31656,0.428,0.433,0.702,0.712
A28326,0.516,0.411,0.685,0.771
A47759,0.222,0.213,0.406,0.403
P94309,0.197,0.113,0.564,0.619
P93141,0.316,0.126,0.485,0.495
A75028,0.094,0.275,0.429,0.542
X78654,0.234,0.257,0.267,0.315
A87335,0.475,0.397,0.863,0.626
S43828,0.398,0.418,0.733,0.76
D80377,0.506,0.385,0.79,0.671
S68323,0.778,0.667,0.944,0.97
S80385,0.297,0.217,0.776,0.872
A41170,0.616,0.548,0.757,0.738
A93781,0.156,0.262,0.573,0.519
X77708,0.479,0.461,0.786,0.807
D10330,0.781,0.644,0.902,0.84
S39335,0.366,0.402,0.806,0.644
S23843,0.254,0.216,0.608,0.51
P96136,0.311,0.131,0.863,0.603
D61131,0.273,0.198,0.768,0.784
D59929,0.489,0.376,0.779,0.806
D72661,0.344,0.148,0.808,0.528
S31057,0.471,0.317,0.805,0.663
X85102,0.389,0.29,0.67,0.593
S19038,0.158,0.188,0.926,0.744
P11431,0.263,0.23,0.852,0.805
S89493,0.259,0.184,0.562,0.396
A37179,0.612,0.441,0.792,0.668
P97242,0.577,0.566,0.792,0.713
S43932,0.187,0.191,0.232,0.287
S85001,0.476,0.36,0.737,0.566
S23022,0.463,0.45,0.688,0.674
X39628,0.392,0.419,0.734,0.779
S36313,0.469,0.372,0.811,0.689
D64162,0.438,0.412,0.581,0.588
S42446,0.255,0.192,0.76,0.663
D45349,0.58,0.451,0.754,0.66
P73117,0.144,0.221,0.455,0.391
S35267,0.572,0.478,0.753,0.589
A91619,0.169,0.244,1.0,0.948
P74105,0.378,0.147,0.942,0.628
X72503,0.268,0.205,0.709,0.465
D17593,0.375,0.193,0.931,0.805
X42935,0.235,0.185,0.664,0.702
A94500,0.2,0.26,0.273,0.453
A11050,0.504,0.374,0.646,0.655
A88016,0.193,0.119,0.304,0.6
A79364,0.778,0.667,0.873,0.815
P54161,0.528,0.373,0.749,0.682
X72388,0.421,0.255,0.787,0.595
S21833,0.288,0.125,0.823,0.882
X16767,0.329,0.207,0.834,0.604
D64032,0.285,0.16,0.563,0.56
X56230,0.303,0.186,0.923,0.9
D87439,0.468,0.324,0.801,0.7
P61034,0.64,0.551,0.773,0.627
P58349,0.642,0.469,0.774,0.675
D48788,0.313,0.18,0.766,0.585
P69195,0.618,0.451,0.871,0.773
A24656,0.424,0.48,0.68,0.769
P57677,0.766,0.571,0.855,0.672
A15093,0.277,0.179,0.827,0.803
P27154,0.204,0.245,0.385,0.373
S75326,0.185,0.126,0.629,0.387
P39681,0.278,0.145,0.737,0.716
D72082,0.504,0.456,0.777,0.719
A20525,0.496,0.315,0.811,0.642
D59799,0.168,0.269,0.891,0.864
S74092,0.222,0.252,0.451,0.565
S29862,0.539,0.491,0.923,0.824
S86981,0.228,0.172,0.665,0.451
P17544,0.198,0.165,0.394,0.405
S13600,0.448,0.318,0.678,0.585
A65045,0.492,0.333,0.81,0.83
D82028,0.426,0.38,0.661,0.494
S76133,0.508,0.366,0.803,0.795
A67593,0.655,0.528,0.745,0.746
X30612,0.6,0.464,0.785,0.782
A58269,0.116,0.21,0.485,0.429
D59123,0.575,0.505,0.658,0.749
X85161,0.434,0.402,0.756,0.877
S33166,0.374,0.493,0.585,0.734
S31504,0.281,0.185,0.975,1.0
S98523,0.57,0.512,0.727,0.716
P82534,0.604,0.538,0.823,0.702
X48712,0.528,0.444,0.768,0.693
D42220,0.147,0.148,0.43,0.309
D59828,0.29,0.161,0.708,0.791
D23024,0.306,0.164,0.548,0.542
A26761,0.302,0.225,1.0,0.891
S17129,0.26,0.23,0.751,0.755
D59626,0.675,0.463,0.771,0.608
P11797,0.266,0.102,0.839,0.838
A79000,0.334,0.225,0.742,0.645
P76812,0.572,0.474,0.739,0.697
D67311,0.52,0.443,0.662,0.778
X89183,0.443,0.157,0.827,0.659
S41248,0.708,0.616,0.88,0.839
D22729,0.515,0.407,0.84,0.764
A28833,0.424,0.294,0.885,0.737
X38510,0.18,0.187,0.446,0.42
X47664,0.834,0.7,0.909,0.885
D57134,0.368,0.394,0.708,0.69
X56657,0.672,0.573,0.724,0.71
X15341,0.168,0.34,0.588,0.589
P19901,0.56,0.409,0.751,0.687
A21669,0.274,0.226,0.901,0.809
X58861,0.637,0.476,0.803,0.624
A63910,0.564,0.456,0.858,0.76
A43114,0.581,0.423,0.704,0.688
D72424,0.149,0.174,0.436,0.551
X57597,0.197,0.281,0.506,0.594
P89591,0.726,0.788,0.893,0.886
S84612,0.517,0.637,0.625,0.849
D79951,0.18,0.263,0.998,1.0
P86931,0.122,0.243,0.183,0.263
X94739,0.769,0.761,0.901,0.902
A57463,0.518,0.426,0.694,0.722
S64947,0.385,0.356,0.584,0.586
P51975,0.219,0.188,0.375,0.37
D52100,0.372,0.238,0.856,0.799
S77217,0.596,0.566,0.725,0.651
P48550,0.279,0.116,0.641,0.901
S34062,0.559,0.378,0.759,0.708
D96734,0.289,0.305,0.863,0.799
S93502,0.455,0.4,0.701,0.542
X10905,0.673,0.42,0.792,0.624
D13283,0.261,0.176,0.935,0.839
X83430,0.597,0.499,0.807,0.708
A16108,0.55,0.502,0.68,0.689
P65561,0.793,0.597,0.866,0.733
P54842,0.252,0.155,0.743,0.627
X65464,0.656,0.48,0.791,0.704
A65956,0.124,0.216,0.505,0.513
P28038,0.433,0.503,0.782,0.743
D74974,0.462,0.365,0.792,0.77
X46915,0.668,0.522,0.761,0.717
S75611,0.426,0.347,0.774,0.744
D44840,0.446,0.388,0.802,0.78
A21659,0.468,0.483,0.744,0.563
S11597,0.612,0.586,0.718,0.731
D95984,0.469,0.452,0.688,0.648
A54135,0.191,0.24,0.559,0.648
X10697,0.584,0.481,0.754,0.802
S63823,0.609,0.57,0.76,0.781
D80078,0.538,0.328,0.753,0.596
S30975,0.265,0.177,0.905,0.732
D12538,0.662,0.543,0.822,0.723
S85893,0.527,0.337,0.764,0.714
D13319,0.315,0.245,0.733,0.828
A97180,0.656,0.452,0.769,0.577
D34656,0.668,0.382,0.841,0.675
P58603,0.547,0.545,0.82,0.74
X51735,0.584,0.511,0.71,0.73
X77830,0.495,0.365,0.836,0.719
A78528,0.312,0.29,0.889,0.842
S89628,0.795,0.753,0.939,0.947
D39284,0.471,0.387,0.92,0.849
X20411,0.237,0.157,0.833,0.797
P59142,0.491,0.355,0.674,0.657
D64586,0.251,0.365,0.494,0.607
S45244,0.604,0.447,0.744,0.667
D77649,0.629,0.469,0.787,0.629
S27172,0.506,0.37,0.7,0.726
A74887,0.48,0.409,0.735,0.725
S17305,0.502,0.348,0.76,0.68
S18003,0.558,0.504,0.697,0.706
P19225,0.576,0.505,0.782,0.766
P73290,0.213,0.211,0.42,0.374
X28720,0.258,0.14,0.302,0.381
S38977,0.184,0.165,0.59,0.44
A32705,0.214,0.231,0.459,0.532
P53401,0.182,0.183,1.0,1.0
X97630,0.62,0.445,0.731,0.628
X52738,0.623,0.502,0.801,0.728
P37715,0.544,0.449,0.671,0.679
D40366,0.482,0.397,0.747,0.58
X43450,0.554,0.411,0.728,0.799
D70099,0.469,0.503,0.776,0.781
P27655,0.691,0.573,0.803,0.813
D88626,0.652,0.579,0.822,0.715
A24264,0.312,0.193,0.896,0.73
D60739,0.252,0.239,0.481,0.382
X46391,0.135,0.13,0.499,0.497
A53121,0.239,0.257,0.595,0.413
S76263,0.246,0.2,0.618,0.48
X92393,0.286,0.197,0.722,0.714
P88150,0.517,0.332,0.904,0.707
