Enrollment_ID,Employee_ID,Date,Course,Assessment_ID,Status,Sys
904-204,135023,2021-04-19,904,D79189,,
992-237,135023,2021-09-26,992,A18725,DNL,
104-2650,135023,2022-03-09,104,P61617,DNL,A
902-1242,135034,2020-11-06,902,S82351,,
904-272,135034,2021-05-29,904,D69744,,
104-1977,135050,2020-12-27,104,A43141,,X
102-1525,135051,2022-02-08,102,X46097,DNL,
105-804,135051,2022-11-14,105,A32053,PPE,
904-137,135103,2021-03-16,904,S86582,,X
902-1594,135103,2021-07-12,902,P48291,,
101-2077,135171,2021-01-07,101,S47339,,
901-1136,135207,2021-05-17,901,P82494,,
902-981,135304,2020-06-28,902,P98079,,X
104-2259,135488,2021-07-04,104,X12138,,
102-1709,135722,2022-07-11,102,A88292,,
105-814,135722,2022-11-22,105,A77812,,
103-1194,135722,2023-04-27,103,D87944,,A
991-2040,135722,2023-11-09,991,X58989,,
901-981,135821,2020-12-26,901,A76333,,
103-253,135821,2021-06-10,103,S42525,DNL,
104-2314,135969,2021-08-06,104,X60422,,
904-637,135969,2022-01-13,904,A33458,PPE,
105-631,135969,2022-07-01,105,D56579,EXT,
101-1395,136095,2020-05-23,101,D44815,,
104-670,136124,2019-11-04,104,D71827,,
991-814,136124,2020-06-29,991,S11329,,
104-99,136215,2019-03-23,104,P89753,,
102-242,136215,2019-08-22,102,D40843,DNL,
902-1760,136263,2021-11-19,902,P37546,PPD,
103-632,136263,2022-01-31,103,X93509,PPD,
991-953,136328,2020-08-29,991,A79108,DNL,
101-3043,136329,2022-03-26,101,D99358,,
105-637,136329,2022-07-07,105,D27594,PPD,
103-1055,136329,2022-11-22,103,S57956,,
102-870,136466,2020-09-29,102,D46021,DNL,A
991-1252,136466,2021-02-09,991,A39182,,
902-719,136498,2020-03-03,902,A27287,,
104-1652,136498,2020-09-18,104,S62434,DNL,
904-271,136529,2021-05-27,904,P24357,,
101-469,136619,2019-07-08,101,A61144,,
101-1980,136640,2020-12-01,101,A89047,,
991-1250,136640,2021-02-06,991,X61094,,
104-1255,136711,2020-05-15,104,P36272,,A
902-1134,136711,2020-09-19,902,X91613,DNL,X
104-1387,136723,2020-07-03,104,S14082,PPD,
991-1084,136723,2020-11-04,991,P60165,,
105-140,136723,2021-04-23,105,S65647,,
902-1624,136738,2021-08-01,902,X29664,PPD,
991-1589,136738,2022-01-30,991,S69193,PPE,A
105-71,136753,2021-02-21,105,D65136,EXT,
104-2191,136753,2021-05-29,104,S44609,,
902-1680,136753,2021-09-22,902,A69347,,
102-1455,136836,2021-12-20,102,S42873,,
901-1182,136840,2021-06-22,901,X27871,,
105-417,136840,2021-12-24,105,A63289,DNL,
103-427,136850,2021-09-27,103,S12341,PPE,A
101-3001,136850,2022-03-06,101,X25147,PPE,X
101-1577,136855,2020-07-15,101,P93355,PPE,
991-1182,136855,2020-12-16,991,S79246,DNL,
104-563,136879,2019-10-03,104,A91183,,
991-680,136879,2020-05-04,991,X52004,DNL,
104-392,137049,2019-08-08,104,A10076,PPE,
102-462,137049,2020-01-13,102,A26562,,A
101-2839,137086,2021-12-11,101,A72416,DNL,X
103-681,137086,2022-03-09,103,A74118,,A
101-328,137200,2019-05-17,101,D46428,,
104-546,137200,2019-09-27,104,D24836,DNL,
102-782,137250,2020-08-02,102,S83243,PPE,
901-561,137359,2020-03-21,901,A53956,,
104-1033,137445,2020-03-05,104,D37031,PPD,
901-804,137445,2020-08-28,901,A15947,PPD,A
101-1451,137544,2020-06-09,101,D30871,,
104-1469,137544,2020-07-26,104,S91167,PPD,
101-928,137558,2019-12-12,101,A47062,DNL,
101-2728,137787,2021-10-25,101,S92077,PPE,A
102-1886,137800,2022-12-01,102,D16827,EXT,
105-935,137800,2023-04-21,105,A68885,,
101-2301,137863,2021-04-12,101,D18966,DNL,
902-1607,138169,2021-07-21,902,P74966,,
103-593,138169,2022-01-04,103,A83250,PPE,
901-1596,138169,2022-07-10,901,S14031,,
104-225,138195,2019-06-02,104,D49957,PPE,
991-306,138195,2019-11-03,991,A96316,PPE,
102-768,138266,2020-07-25,102,S31640,PPD,X
901-1589,138663,2022-07-05,901,S97332,,A
904-1108,138663,2022-11-13,904,X46819,EXT,A
902-570,138717,2019-12-05,902,X62789,,
104-1241,138754,2020-05-11,104,X16024,,
902-1056,138754,2020-08-09,902,P93488,,
104-528,138755,2019-09-20,104,A97614,,A
104-173,138770,2019-05-08,104,D47978,,A
991-193,138808,2019-08-31,991,S51517,PPD,
104-974,138808,2020-02-14,104,P68825,PPD,
101-2026,138859,2020-12-18,101,D12859,,
105-131,138859,2021-04-17,105,D30660,,
102-587,138922,2020-03-25,102,A28370,,
991-952,138922,2020-08-28,991,A17844,PPD,
103-841,139110,2022-06-28,103,A30065,,
101-3269,139132,2022-06-25,101,P13435,PPD,
902-1692,139357,2021-10-01,902,X67775,PPD,
104-2247,139361,2021-07-01,104,X96261,DNL,
904-660,139361,2022-02-02,904,A54447,DNL,
101-3220,139542,2022-06-03,101,P93484,,
103-1083,139542,2022-12-11,103,S69354,,
901-1803,139542,2023-06-20,901,S88250,PPE,
102-193,139582,2019-07-09,102,P27631,,
991-413,139582,2019-12-29,991,S10633,,
901-669,139624,2020-06-09,901,D46900,,
102-948,139624,2020-11-14,102,P42322,EXT,
901-1009,139730,2021-01-11,901,P70376,,
991-1401,139730,2021-08-02,991,S45020,,
902-817,139743,2020-04-20,902,S79693,,
902-490,139755,2019-10-24,902,A81975,,
901-673,139755,2020-06-10,901,P19111,PPD,
901-445,139765,2020-01-08,901,X94331,,A
104-987,139765,2020-02-18,104,A51165,,
991-759,139902,2020-06-04,991,D46227,,A
104-1643,139902,2020-09-16,104,S88299,,A
902-1438,139902,2021-03-13,902,A97776,,
901-72,140002,2019-03-19,901,P52275,,
101-338,140002,2019-05-23,101,D25589,,
104-1118,140041,2020-03-28,104,X78614,DNL,
991-1075,140041,2020-10-31,991,A99539,,
105-100,140041,2021-03-19,105,A94430,,
901-474,140079,2020-01-27,901,D45042,PPD,
101-3317,140149,2022-07-15,101,S88493,PPE,
902-2098,140149,2022-08-19,902,X24006,PPD,
904-1192,140149,2023-02-04,904,A12888,,
902-839,140223,2020-05-03,902,A80015,,
101-606,140310,2019-08-22,101,D17295,PPD,
991-581,140310,2020-03-15,991,P18979,,
101-3580,140363,2022-11-09,101,P57624,PPE,
101-665,140618,2019-09-12,101,X57764,,
101-3505,140845,2022-10-08,101,S59392,PPD,
104-3121,140845,2023-01-25,104,A79726,PPD,
102-1876,141020,2022-11-25,102,S15697,DNL,
103-1197,141020,2023-05-04,103,A21370,,
902-275,141027,2019-06-24,902,A67627,,
991-403,141027,2019-12-23,991,P62494,PPD,
101-1991,141079,2020-12-04,101,A14627,,
102-1216,141079,2021-06-05,102,D80022,,
902-2180,141193,2022-10-24,902,A26991,,
991-828,141195,2020-07-07,991,A17002,,
101-891,141340,2019-11-30,101,P22004,,A
104-1060,141389,2020-03-11,104,S66864,,
101-1536,141389,2020-07-05,101,X39267,,
102-1089,141389,2021-02-14,102,D33339,EXT,
101-950,141470,2019-12-19,101,P44735,PPD,
104-1231,141470,2020-05-07,104,P43209,PPE,
991-1214,141512,2020-12-30,991,D69541,,
901-713,141548,2020-07-07,901,P40677,EXT,
902-1307,141548,2020-12-15,902,S86491,PPD,
104-1754,141590,2020-10-18,104,S30022,PPD,
904-132,141590,2021-03-12,904,A70892,,
992-169,141590,2021-07-16,992,D18191,,
104-2062,141648,2021-03-04,104,D95688,,
103-264,141648,2021-06-17,103,X44125,,
992-164,141755,2021-07-13,992,S10412,PPD,
991-474,141768,2020-01-24,991,A59466,PPD,
902-961,141768,2020-06-18,902,X72192,,
101-2741,141968,2021-10-30,101,D73625,,
103-1030,142035,2022-11-06,103,P58505,,
101-1682,142058,2020-08-25,101,P41531,,
902-1533,142090,2021-05-20,902,X66787,PPD,
904-339,142090,2021-07-04,904,D65545,,A
102-1692,142248,2022-06-26,102,P63418,,
904-1094,142248,2022-11-02,904,P65341,,
901-832,142303,2020-09-16,901,P17795,PPE,
992-78,142303,2021-04-11,992,A22416,,
901-270,142541,2019-08-14,901,A52351,,
901-190,142582,2019-06-26,901,P25872,DNL,X
101-2841,142640,2021-12-11,101,A80982,PPD,X
104-2681,142640,2022-03-30,104,X45339,,
101-1716,142965,2020-09-05,101,S75636,PPE,
103-52,142965,2021-02-07,103,S26079,PPE,A
991-1459,142965,2021-09-24,991,D23991,,
104-1199,143114,2020-04-28,104,D66303,PPE,
101-1154,143120,2020-03-05,101,D21015,,
104-1383,143120,2020-07-02,104,D38643,PPE,
904-1,143120,2021-01-03,904,A19107,,
902-1811,143139,2022-01-08,902,D84764,EXT,A
105-540,143139,2022-03-30,105,D80530,,
902-164,143229,2019-04-18,902,X37422,,
991-218,143292,2019-09-14,991,A62740,PPE,
901-868,143296,2020-10-06,901,X98612,,
104-2139,143296,2021-04-24,104,X41556,PPD,
101-2039,143303,2020-12-21,101,S37110,,X
991-510,143347,2020-02-15,991,A95906,,
104-945,143460,2020-02-01,104,A96598,PPE,
902-659,143605,2020-01-30,902,S65688,DNL,
901-331,143627,2019-10-04,901,S86958,,
102-978,143630,2020-12-05,102,X76807,PPD,
902-1085,143653,2020-08-24,902,X94275,,
904-65,143653,2021-02-05,904,D16602,,
902-1551,143717,2021-05-29,902,P13686,PPE,
105-207,143717,2021-06-24,105,A53444,PPE,
991-1775,143737,2022-08-01,991,X36446,,
104-80,143741,2019-03-14,104,P82373,,
991-112,143741,2019-07-09,991,X79249,PPD,
901-1173,143785,2021-06-15,901,P12735,,
991-1498,143785,2021-10-28,991,S51992,EXT,
104-3045,143874,2022-11-14,104,P58364,DNL,
104-1262,143908,2020-05-17,104,D43714,EXT,
901-791,143908,2020-08-20,901,P53862,,
104-1770,143951,2020-10-22,104,D67282,,
992-65,143951,2021-03-22,992,S64268,,
904-995,144046,2022-08-31,904,S21589,EXT,
102-1899,144046,2022-12-27,102,A53533,,
991-872,144060,2020-07-23,991,P97653,,
904-818,144062,2022-05-11,904,A68646,,
102-1867,144062,2022-11-21,102,P36194,DNL,
102-1409,144085,2021-11-14,102,D33401,DNL,X
104-2755,144085,2022-05-17,104,P15865,PPE,X
103-1052,144085,2022-11-20,103,X58869,,X
904-712,144147,2022-03-10,904,A81343,,
991-1688,144147,2022-05-16,991,A29259,,
104-156,144345,2019-04-26,104,P94473,,
991-275,144345,2019-10-16,991,A99758,PPE,
102-636,144345,2020-05-02,102,X51004,PPD,X
101-2967,144353,2022-02-17,101,X54261,EXT,
992-450,144353,2022-06-28,992,X85772,,
101-2530,144473,2021-08-04,101,D44105,,A
102-1365,144473,2021-10-06,102,P48493,,
991-1634,144473,2022-03-17,991,P73130,,
105-694,144473,2022-08-19,105,P50983,,
101-666,144479,2019-09-12,101,D89664,DNL,
103-827,144561,2022-06-20,103,A94705,,
992-561,144561,2022-11-01,992,P52078,,
902-937,144707,2020-06-10,902,A31989,,
101-88,144767,2019-02-04,101,S69417,,
104-303,144767,2019-07-02,104,X34830,,
902-218,144773,2019-05-17,902,D77925,,
102-1122,144790,2021-03-17,102,P16378,EXT,
904-343,144790,2021-07-06,904,X60180,,
101-1032,144860,2020-01-19,101,P84614,,
101-1934,145045,2020-11-15,101,X70325,,
103-211,145045,2021-05-22,103,S84761,,
104-758,145136,2019-12-05,104,X73123,,A
902-800,145136,2020-04-12,902,A84026,,
901-1532,145374,2022-05-21,901,A70152,PPE,X
101-2631,145503,2021-09-12,101,P10055,,
102-770,145649,2020-07-26,102,S86749,DNL,
104-1797,145649,2020-10-31,104,X84624,DNL,
902-1228,145708,2020-10-28,902,X95443,,A
991-1249,145708,2021-02-06,991,X47111,,
104-647,145743,2019-10-30,104,X92070,PPD,
901-601,145743,2020-04-15,901,X79089,,
104-325,145746,2019-07-15,104,X65501,EXT,
902-1168,145749,2020-10-01,902,A45148,,
102-1139,145749,2021-03-30,102,D97286,,
101-509,145828,2019-07-22,101,A39734,EXT,X
104-597,145828,2019-10-14,104,S10245,EXT,
104-2063,145832,2021-03-04,104,X58309,,
991-1389,145832,2021-07-13,991,D53520,,
103-629,145832,2022-01-28,103,P17089,,
992-411,145832,2022-05-02,992,D53620,PPD,
102-640,145923,2020-05-04,102,X11961,,
104-1318,145923,2020-06-05,104,S68730,,
101-1796,145923,2020-10-05,101,A87782,,
901-282,146008,2019-08-26,901,P30431,,
101-3368,146202,2022-08-04,101,P45762,,
104-3053,146202,2022-11-19,104,X98432,,
102-1752,146366,2022-08-22,102,A26943,,A
104-3113,146366,2023-01-18,104,S79679,,
102-112,146485,2019-05-02,102,D48591,,
902-382,146485,2019-09-02,902,P28310,PPD,X
992-299,146533,2021-12-22,992,A51033,,
104-2821,146533,2022-07-01,104,A48877,,X
904-1008,146533,2022-09-12,904,X75250,PPD,
103-682,146538,2022-03-09,103,D39787,,
102-1762,146538,2022-09-01,102,P94993,,
105-908,146538,2023-03-17,105,S19800,PPD,A
902-57,146579,2019-02-06,902,D45713,,
102-268,146595,2019-09-11,102,D51834,,
104-2993,146672,2022-10-10,104,D63404,,
103-1181,146672,2023-04-15,103,D53573,DNL,
902-724,146748,2020-03-09,902,P43253,,
102-1487,146867,2022-01-07,102,D45189,,
992-415,146867,2022-05-12,992,S12179,PPE,
902-338,146884,2019-08-08,902,S45829,PPE,
104-901,146884,2020-01-17,104,P63180,,
104-1205,146917,2020-05-01,104,X57316,,
991-862,146917,2020-07-19,991,S60394,PPE,
101-462,146990,2019-07-05,101,P20855,PPE,
901-844,147332,2020-09-24,901,P38776,PPD,X
104-1810,147332,2020-11-05,104,X36122,EXT,
101-577,147340,2019-08-12,101,S73402,PPE,A
991-320,147340,2019-11-13,991,S89688,,A
103-555,147387,2021-12-12,103,S12628,,
992-406,147387,2022-04-22,992,S19358,EXT,
101-2201,147396,2021-03-03,101,A35382,,X
101-2187,147520,2021-03-01,101,S90281,,
104-2411,147520,2021-09-29,104,X58153,,
902-1005,147532,2020-07-11,902,P81324,,
102-980,147532,2020-12-05,102,S32750,,
102-48,147548,2019-02-23,102,X38262,,X
102-515,147628,2020-02-16,102,S79534,,
101-2398,147641,2021-05-25,101,A95105,DNL,A
902-1835,147680,2022-01-27,902,S76618,,
101-1020,147692,2020-01-12,101,X36298,,
101-2194,147709,2021-03-02,101,X96890,,
904-359,147709,2021-07-12,904,S24473,EXT,
901-1473,147729,2022-04-04,901,S36995,,
991-1870,147729,2022-10-26,991,X36069,EXT,
102-1151,147797,2021-04-08,102,P59673,,
101-1600,147847,2020-07-25,101,S74459,,
902-848,147862,2020-05-07,902,X58378,EXT,X
104-1933,147862,2020-12-11,104,S11657,,
101-3331,147955,2022-07-21,101,D21003,,
101-3000,147958,2022-03-06,101,D64905,,X
105-671,147958,2022-07-26,105,X74798,,
101-1389,148048,2020-05-20,101,S95172,,
102-843,148048,2020-09-14,102,A13510,,
101-204,148064,2019-03-24,101,X45597,PPD,
104-427,148064,2019-08-20,104,S71027,,
991-609,148064,2020-03-29,991,D51739,PPE,A
104-1447,148104,2020-07-20,104,S82315,,
103-15,148104,2021-01-11,103,P26425,,
904-259,148104,2021-05-18,904,X31300,,A
902-634,148228,2020-01-15,902,A67227,,
102-705,148228,2020-06-21,102,A31735,,A
901-91,148238,2019-04-07,901,S95938,DNL,
101-554,148238,2019-08-05,101,A65711,,
991-1470,148240,2021-10-06,991,A51472,,
901-1523,148240,2022-05-14,901,X45388,,X
105-855,148240,2022-12-31,105,P37617,EXT,
101-1148,148252,2020-03-02,101,X98091,PPE,X
991-969,148252,2020-09-05,991,S44509,DNL,A
102-750,148429,2020-07-14,102,D90581,,
102-65,148448,2019-03-17,102,A97520,,
991-190,148448,2019-08-29,991,A49279,,
102-846,148459,2020-09-16,102,X31226,,
904-74,148459,2021-02-08,904,A55405,PPE,
101-1503,148550,2020-06-25,101,P55299,EXT,
904-161,148550,2021-03-26,904,D42387,,
103-314,148550,2021-07-16,103,S85853,,
101-455,148602,2019-07-02,101,D76311,,
902-624,148602,2020-01-04,902,S24025,PPD,
101-2877,148603,2022-01-01,101,X62599,,
104-2746,148603,2022-05-10,104,D45938,DNL,
103-971,148603,2022-09-23,103,S59362,,X
101-2209,148617,2021-03-07,101,S31656,,
101-109,148621,2019-02-14,101,A28326,,
104-1495,148706,2020-08-03,104,A47759,,
104-2320,148727,2021-08-10,104,P94309,,
904-638,148727,2022-01-15,904,P93141,PPD,X
103-860,148727,2022-07-16,103,A75028,,
104-1591,148757,2020-08-30,104,X78654,,
101-2881,148763,2022-01-04,101,A87335,PPE,
103-748,148763,2022-04-28,103,S43828,,
101-621,148781,2019-08-28,101,D80377,,
901-425,148781,2019-12-27,901,S68323,,
991-650,148781,2020-04-18,991,S80385,,
102-925,148822,2020-11-02,102,A41170,EXT,
904-103,148822,2021-02-24,904,A93781,,A
101-3264,148851,2022-06-23,101,X77708,DNL,
901-1745,148851,2022-11-15,901,D10330,,
904-1250,148851,2023-04-15,904,S39335,DNL,
103-650,148852,2022-02-12,103,S23843,,
992-464,148852,2022-07-13,992,P96136,,A
991-1884,148852,2022-11-06,991,D61131,EXT,X
901-1451,148899,2022-03-08,901,D59929,DNL,
991-1722,148899,2022-06-18,991,D72661,,
101-550,149010,2019-08-04,101,S31057,DNL,
104-827,149010,2019-12-23,104,X85102,,
105-272,149083,2021-08-20,105,S19038,,
992-265,149083,2021-11-03,992,P11431,EXT,A
104-2717,149083,2022-04-20,104,S89493,,
102-111,149096,2019-05-01,102,A37179,PPE,A
902-453,149096,2019-10-04,902,P97242,,
104-140,149149,2019-04-19,104,S43932,PPE,
101-1361,149224,2020-05-11,101,S85001,PPE,
104-1651,149224,2020-09-18,104,S23022,,
904-167,149224,2021-03-28,904,X39628,EXT,A
901-117,149252,2019-04-28,901,S36313,PPD,
104-585,149252,2019-10-08,104,D64162,,
992-266,149293,2021-11-03,992,S42446,PPD,
102-1143,149301,2021-04-02,102,D45349,PPE,A
904-512,149301,2021-10-20,904,P73117,,
902-2134,149393,2022-09-13,902,S35267,PPD,
105-881,149393,2023-02-03,105,A91619,,
991-1978,149393,2023-03-20,991,P74105,,
103-679,149450,2022-03-07,103,X72503,PPD,
991-1746,149450,2022-07-05,991,D17593,PPD,
104-3114,149450,2023-01-19,104,X42935,,
104-1080,149559,2020-03-16,104,A94500,EXT,
102-1585,149586,2022-03-29,102,A11050,,X
904-1020,149586,2022-09-19,904,A88016,PPD,
101-3656,149586,2023-05-31,101,A79364,PPE,
101-2198,149623,2021-03-03,101,P54161,,
904-457,149623,2021-09-12,904,X72388,PPE,
991-1623,149623,2022-03-10,991,S21833,DNL,
992-432,149623,2022-06-13,992,X16767,DNL,A
103-725,149827,2022-04-07,103,D64032,DNL,
105-747,149827,2022-10-12,105,X56230,,
901-136,149840,2019-05-20,901,D87439,,
102-336,149840,2019-10-25,102,P61034,EXT,
902-1599,149842,2021-07-13,902,P58349,,X
991-1450,149842,2021-09-15,991,D48788,DNL,
901-1039,149928,2021-02-12,901,P69195,,A
103-451,149928,2021-10-11,103,A24656,PPE,A
902-816,149937,2020-04-20,902,P57677,PPE,
991-946,149937,2020-08-25,991,A15093,,
104-1888,149937,2020-11-28,104,P27154,,
904-385,149940,2021-07-29,904,S75326,EXT,X
992-363,149940,2022-02-25,992,P39681,DNL,
101-3545,150000,2022-10-22,101,D72082,DNL,A
104-3186,150000,2023-05-01,104,A20525,,
105-203,150034,2021-06-21,105,D59799,,
904-944,150243,2022-08-01,904,S74092,,
901-1048,150251,2021-02-18,901,S29862,DNL,
104-2431,150315,2021-10-09,104,S86981,,
103-660,150315,2022-02-21,103,P17544,PPD,
101-3087,150322,2022-04-06,101,S13600,,
901-123,150488,2019-05-06,901,A65045,,
104-520,150488,2019-09-18,104,D82028,,
901-940,150538,2020-12-03,901,S76133,,
902-1548,150538,2021-05-27,902,A67593,PPD,
